date,ibudarhus,utlan_heimila,max_hlutfall,laegstu_vextir,greidd_husaleiga,utborgad,utlan_breyting,utlan_hrodun,d_hus,d_utb,d_leiga
1998-10-01,107.14329194820887,368819.002,0.65,0.051,115.4,103917.12,NA,NA,-0.008985584723642526,0.010632506517593399,0.012280701754386003
1998-11-01,106.37865282460432,372648.004,0.65,0.051,115.4,106621.53760000001,NA,NA,-0.007136602858666796,0.02602475511253588,0
1998-12-01,107.85598676651806,380856.451,0.65,0.051,115.4,109671.20000000001,0.13874816850700977,NA,0.01388750376778658,0.028602686367561914,0
1999-01-01,110.79385624601301,423299.405,0.65,0.051,115.4,108699.01120000001,0.2572097053565572,0.11846153684954741,0.027238816940729604,-0.008864577026603149,0
1999-02-01,112.02517892515128,426875.878,0.65,0.051,115.4,109862.8832,0.25680480713402387,-4.04898222533312e-4,0.0111136368103677,0.010707291512142003,0
1999-03-01,115.21908981204919,428352.031,0.65,0.051,115.4,110270.2384,0.24309822499445355,-0.013706582139570322,0.028510651958270072,0.003707850987839434,0
1999-04-01,116.64755157950421,434516.445,0.65,0.051,115.4,110677.5936,0.25366813163039126,0.01056990663593771,0.01239778729189056,0.0036941536167023337,0
1999-05-01,119.29154872863107,440093.163,0.65,0.051,115.4,110619.4,0.26059169260778003,0.006923560977388776,0.02266654647547206,-5.257938676397345e-4,0
1999-06-01,121.6216503421532,449189.86,0.65,0.051,115.4,108931.7856,0.28051536353655493,0.019923670928774895,0.01953283060162736,-0.01525604369577116,0
1999-07-01,125.11709103193061,455247.752,0.65,0.051,115.4,108757.2048,0.2915814267182739,0.011066063181718988,0.02874028332902756,-0.0016026616936314353,0
1999-08-01,126.21395553629893,461641.393,0.65,0.051,118.5,107360.5584,0.29274528177119175,0.0011638550529178282,0.008766704015587878,-0.012841874729755953,0.026863084922010394
1999-09-01,127.28636784403736,470230.434,0.65,0.051,118.6,112888.9504,0.30272919977884727,0.009983918007655523,0.008496780749653432,0.051493696403874134,8.438818565399409e-4
1999-10-01,128.239323236137,476038.294,0.65,0.051,118.9,113703.6608,0.29070978289779115,-0.012019416881056122,0.00748670425781417,0.0072169189022772695,0.002529510961214232
1999-11-01,129.97953000457312,484350.953,0.65,0.051,119.2,117311.66399999999,0.29975458824676804,0.009044805348976892,0.013569993388312884,0.031731636207793956,0.002523128679562614
1999-12-01,131.77227797008524,484542.828,0.65,0.051,119.1,122258.12,0.27224529538033204,-0.027509292866435997,0.01379254075967995,0.04216508257865992,-8.38926174496768e-4
2000-01-01,132.89360545130737,491817.251,0.65,0.051,119.2,115504.74160000001,0.16186615239867863,-0.11037914298165341,0.008509585616154336,-0.05523869007637272,8.396305625526512e-4
2000-02-01,139.15455832865482,498843.76300000004,0.65,0.051,120.2,115853.7304,0.16859206319453834,0.006725910795859713,0.04711252175065317,0.0030214240139903037,0.008389261744966348
2000-03-01,139.23937596902567,508181.35699999996,0.65,0.051,120.2,116958.8616,0.18636383213506913,0.017771768940530785,6.095211065277883e-4,0.00953902128299533,0
2000-04-01,140.11360828654864,516613.478,0.65,0.051,137,117947.66320000001,0.18893883981767368,0.0025750076826045465,0.006278628523280982,0.008454268333952353,0.13976705490848573
2000-05-01,140.8930189275105,521404.79000000004,0.65,0.051,139.2,122833.50640000001,0.18476003227525717,-0.004178807542416507,0.0055627047971520405,0.04142382364723263,0.016058394160583855
2000-06-01,142.27935145053033,532571.978,0.65,0.051,139.5,120157.9256,0.18562778331639107,8.677510411339018e-4,0.009839611171459817,-0.021782173923189485,0.0021551724137931494
2000-07-01,143.70058505874917,542144.679,0.65,0.051,139.8,120681.4088,0.1908783220087158,0.005250538692324724,0.009989036312925581,0.004356626476248016,0.0021505376344086446
2000-08-01,145.377114305042,541879.911,0.65,0.051,140,117482.34479999999,0.17381135924264912,-0.017066962766066673,0.011666822689743395,-0.02650834152343784,0.0014306151645206988
2000-09-01,146.1016557142743,557868.406,0.65,0.051,139.7,124316.7088,0.18637239460345079,0.012561035360801664,0.004983875300427432,0.05817354098298533,-0.002142857142857224
2000-10-01,145.4323812232057,562773.092,0.65,0.051,139.8,126148.9,0.18220130416650893,-0.00417109043694186,-0.00458088231647058,0.014738092873320952,7.15819613457569e-4
2000-11-01,149.09110693832721,572905.783,0.65,0.051,140.5,129057.14000000001,0.1828319516076189,6.306474411099661e-4,0.0251575727795188,0.023054025837720538,0.005007153075822446
2000-12-01,149.36046950260163,567175.699,0.65,0.051,140.7,126846.8776,0.17053780641243965,-0.01229414519517924,0.0018066977286972374,-0.017126231063232966,0.001423487544483848
2001-01-01,148.04923845627133,574093.296,0.65,0.051,140.4,130828.0608,0.16728987206672818,-0.0032479343457114673,-0.008778969768218792,0.0313857406293776,-0.00213219616204674
2001-02-01,152.971264273722,579810.823,0.65,0.051,142.2,129903.41440000001,0.16230945639787397,-0.00498041566885421,0.03324587055477801,-0.00706764584253472,0.012820512820512775
2001-03-01,152.5295462443748,584205.165,0.65,0.051,143.3,129556.67200000002,0.14959975794625624,-0.012709698451617735,-0.002887588276428099,-0.0026692323800843187,0.007735583684950864
2001-04-01,154.31724829745505,594854.0819999999,0.65,0.051,144.5,132157.24,0.15144901813808254,0.0018492601918262963,0.011720365641264552,0.02007282187674564,0.008374040474528943
2001-05-01,149.9039346820965,603648.294,0.65,0.051,145.2,133139.67680000002,0.15773446193311713,0.006285443795034595,-0.028598965209978733,0.007433847740767163,0.0048442906574392985
2001-06-01,152.95222223430287,614084.458,0.65,0.051,147.4,129267.72000000003,0.15305439145729882,-0.00468007047581831,0.02033494023136173,-0.02908191527170645,0.01515151515151536
2001-07-01,152.32813474055882,620280.156,0.65,0.051,148.4,129267.72000000003,0.14412292516477865,-0.008931466292520174,-0.004080277387457754,0,0.006784260515603879
