date,ibudarhus,utlan_heimila,max_hlutfall,laegstu_vextir,greidd_husaleiga,utborgad,utlan_breyting,utlan_hrodun,d_hus,d_utb,d_leiga
1997-11-01,99.99547324124542,NA,0.65,0.051,106.3,96767.04,NA,NA,0.04117391152539418,0.10196805580557866,NA
1997-12-01,100.04274420928094,334451.86699999997,0.65,0.051,106.3,100410.34199999999,NA,NA,0.01902581891266908,0.061287638836647895,NA
1998-01-01,100.67747013396844,336697.532,0.65,0.051,108,99716.6416,NA,NA,0.046485589787027104,0.1952569532759234,NA
1998-02-01,102.4841163387507,339651.691,0.65,0.051,108,99889.264,NA,NA,0.05306979279650981,0.15503329581164582,NA
1998-03-01,103.30996373017186,344584.219,0.65,0.051,108,100579.7536,NA,NA,0.061878277779520596,0.13542153692354275,0.08000000000000007
1998-04-01,104.2030431407421,346596.06799999997,0.65,0.051,113.3,101155.16159999999,NA,NA,0.046035653103330354,0.07588352481764016,0.12848605577689232
1998-05-01,104.62139338649759,349116.344,0.65,0.051,113.3,99083.6928,NA,NA,0.05747774572159292,0.10248820623037158,0.12848605577689232
1998-06-01,104.98626980776896,350788.341,0.65,0.051,113.3,98163.04000000001,NA,NA,0.059190280161414366,0.059214337896148495,0.12848605577689232
1998-07-01,105.01496919108003,352473.13300000003,0.65,0.051,114,99285.08559999999,NA,NA,0.063214587951344825,0.07261906914873206,0.0764872521246458
1998-08-01,105.37717887276645,357101.588,0.65,0.051,114,96551.8976,NA,NA,0.06924725463263948,0.0858296871315507,0.0764872521246458
1998-09-01,108.11476634104312,360957.929,0.65,0.051,114,102823.84479999999,NA,NA,0.10169868037079044,0.16296213625998135,0.0764872521246458
1998-10-01,107.14329194820887,368819.002,0.65,0.051,115.4,103917.12,NA,NA,0.07223374497039448,0.08014620046796828,0.08560677328316091
1998-11-01,106.37865282460432,372648.004,0.65,0.051,115.4,106621.53760000001,NA,NA,0.06383468547580229,0.10183733634923642,0.08560677328316091
1998-12-01,107.85598676651806,380856.451,0.65,0.051,115.4,109671.20000000001,0.13874816850700977,NA,0.07809904275408996,0.09223012107657214,0.08560677328316091
1999-01-01,110.79385624601301,423299.405,0.65,0.051,115.4,108699.01120000001,0.2572097053565572,0.11846153684954741,0.10048311800627285,0.0900789422494952,0.06851851851851865
1999-02-01,112.02517892515128,426875.878,0.65,0.051,115.4,109862.8832,0.25680480713402387,-4.04898222533312e-4,0.09309796412610494,0.0998467583062781,0.06851851851851865
1999-03-01,115.21908981204919,428352.031,0.65,0.051,115.4,110270.2384,0.24309822499445355,-0.013706582139570322,0.11527567769728342,0.09634627699068066,0.06851851851851865
1999-04-01,116.64755157950421,434516.445,0.65,0.051,115.4,110677.5936,0.25366813163039126,0.01056990663593771,0.11942557591100211,0.0941368868318826,0.018534863195057483
1999-05-01,119.29154872863107,440093.163,0.65,0.051,115.4,110619.4,0.26059169260778003,0.006923560977388776,0.14022137220002673,0.11642387232462936,0.018534863195057483
1999-06-01,121.6216503421532,449189.86,0.65,0.051,115.4,108931.7856,0.28051536353655493,0.019923670928774895,0.15845291546069595,0.10970264979568678,0.018534863195057483
